id_cliente,nome_completo,cpf,data_nascimento,idade,genero,estado_civil,profissao,faixa_renda,email_principal,email_alternativo,telefone_celular,telefone_fixo,logradouro,numero,complemento,bairro,cidade,estado_uf,cep,pais,tipo_residencia,data_cadastro,origem_cadastro,codigo_indicacao_usado,cupom_desconto,plano_assinatura,valor_plano,ciclo_faturamento,status,data_ultimo_pagamento,metodo_pagamento,bandeira_cartao,ultimos_4_digitos_cartao,validade_cartao,chave_pix_tipo,dias_atraso,meses_como_cliente,total_pago_R$,qtd_perfis_criados,qtd_telas_contratadas,dispositivo_principal,dispositivos_cadastrados,idioma_preferido,legenda_preferida,controle_parental_ativo,aceitou_termos_lgpd,aceitou_marketing_email,aceitou_marketing_sms,aceitou_cookies,ultimo_acesso,ip_ultimo_acesso,motivo_cancelamento,avaliacao_plataforma_1_a_5
CLI-1025,Vanessa Dias Martins,307.887.177-37,23/08/1974,51,Masculino,Divorciado(a),Enfermeiro,R$7k a R$10k,vanessa.dias.martins93@gmail.com,,(61) 98343-6447,(61) 3927-1763,Rua 10 de Julho,392,Fundos,Boa Viagem,Brasília,DF,27830-434,Brasil,Casa,2024-11-09,Smart TV,,AMIGO15,Padrão,34.9,Mensal,Inadimplente,2026-02-24,Boleto,,,,,66,17,555.75,1,2,Console PS5,"Celular Android, Tablet, iPhone, Fire Stick",Português,Português,Não,Sim,Sim,Não,Sim,2026-04-24 00:00,124.194.252.80,,2
CLI-1026,Rafael Nascimento Almeida,155.111.800-80,30/06/1999,26,Feminino,Divorciado(a),Advogado,Acima de R$10k,rafael.nascimento.almeida35@hotmail.com,,(81) 96552-7898,,Rua 10 de Julho,2132,Apto 101,Centro,Recife,PE,65498-403,Brasil,Casa,2022-07-17,Site,,,Básico,19.9,Mensal,Ativo,2026-04-08,Cartão de Crédito,American Express,1866,04/27,,0,46,830.19,3,1,Celular Android,"Console Xbox, Celular Android, iPhone",Português,Desativada,Sim,Sim,Sim,Sim,Sim,2026-04-29 05:00,157.130.182.66,,3
CLI-1027,Lara Rodrigues Santos,264.197.928-39,10/07/1960,65,Masculino,União Estável,Estudante,Até R$2k,lara.rodrigues.santos78@hotmail.com,,(62) 93809-2825,(62) 4212-4637,Rua Rio Negro,819,Fundos,Ponta Negra,Goiânia,GO,14700-175,Brasil,Apartamento,2024-07-23,App iOS,,BLACK50,Premium,49.9,Mensal,Ativo,2026-04-03,PIX,,,,CPF,0,21,901.31,1,4,iPhone,"Notebook, Chromecast",Português,Desativada,Não,Sim,Sim,Não,Sim,2026-04-29 04:00,102.142.246.69,,1
CLI-1028,Flávia Cavalcanti Soares,827.121.278-66,21/04/1957,68,Feminino,Viúvo(a),Advogado,Acima de R$10k,flávia.cavalcanti.soares22@gmail.com,,(27) 96997-8776,,Av. Getúlio Vargas,1381,Bloco B,Moema,Vitória,ES,90362-401,Brasil,Apartamento,2022-02-07,App Android,,,Padrão,34.9,Mensal,Inativo,2026-03-18,PayPal,,,,,0,51,899.81,5,2,Console PS5,"Smart TV, Console Xbox",Português,Inglês,Não,Sim,Sim,Não,Sim,2026-03-29 00:00,112.244.140.217,Pouco conteúdo,1
CLI-1029,Leticia Cunha Lopes,157.991.140-88,26/08/2001,24,Feminino,Solteiro(a),Vendedor,Acima de R$10k,leticia.cunha.lopes35@gmail.com,leticia36@outlook.com,(21) 95147-8782,(21) 3732-1286,Rua das Acácias,1947,,Cidade Nova,Rio de Janeiro,RJ,74194-743,Brasil,Casa,2025-01-04,App Android,,,Padrão,34.9,Anual,Ativo,2026-04-18,PIX,,,,Chave Aleatória,0,16,496.33,3,2,Celular Android,"iPhone, Console Xbox, Console PS5",Português,Desativada,Não,Sim,Sim,Não,Sim,2026-04-29 00:00,185.90.51.96,,5
CLI-1030,Thiago Soares Cavalcanti,175.174.294-82,17/09/1989,36,Feminino,Viúvo(a),Autônomo,Acima de R$10k,thiago.soares.cavalcanti26@gmail.com,,(21) 99095-4611,,Rua Barão de Melgaço,1498,Fundos,Jardins,Rio de Janeiro,RJ,19734-855,Brasil,Apartamento,2024-09-16,App Android,,,Padrão,34.9,Mensal,Ativo,2026-04-07,PIX,,,,CPF,0,19,621.68,4,2,Celular Android,"Celular Android, Notebook, Chromecast, Console Xbox",Português,Português,Sim,Sim,Sim,Não,Sim,2026-04-28 20:00,172.56.170.97,,1
CLI-1031,Patricia Santos Santos,851.574.747-21,26/01/2006,19,Feminino,Solteiro(a),Autônomo,R$4k a R$7k,patricia.santos.santos57@hotmail.com,patricia39@outlook.com,(51) 91569-6538,,Rua Barão de Melgaço,31,Bloco B,Adrianópolis,Porto Alegre,RS,35200-421,Brasil,Casa,2023-05-16,Site,,STREAM20,Premium,49.9,Mensal,Inadimplente,2026-04-01,Boleto,,,,,30,36,1754.37,5,4,iPhone,Notebook,Português,Espanhol,Não,Sim,Sim,Não,Sim,2026-04-14 00:00,137.58.121.157,,2
CLI-1032,Fernanda Lima Mendes,571.878.365-59,04/06/2005,20,Masculino,Divorciado(a),Estudante,R$7k a R$10k,fernanda.lima.mendes48@hotmail.com,,(21) 95235-7502,,Alameda das Palmeiras,673,Casa,Adrianópolis,Rio de Janeiro,RJ,60822-992,Brasil,Casa,2022-11-04,Site,,,Padrão,34.9,Mensal,Inadimplente,2026-03-02,PayPal,,,,,60,42,1327.7,2,2,Console PS5,"Chromecast, iPhone",Português,Português,Sim,Sim,Não,Não,Sim,2026-04-22 00:00,160.53.136.158,,1
CLI-1033,Aline Carvalho Soares,650.561.836-91,15/12/1992,33,Feminino,Casado(a),Advogado,R$4k a R$7k,aline.carvalho.soares70@hotmail.com,,(41) 96798-5018,(41) 3001-7758,Rua 10 de Julho,1140,Bloco B,Alvorada,Curitiba,PR,75137-145,Brasil,Apartamento,2023-04-17,App iOS,,AMIGO15,Padrão,34.9,Mensal,Inadimplente,2026-03-28,PIX,,,,CPF,34,37,1238.62,1,2,Chromecast,Fire Stick,Português,Espanhol,Não,Sim,Sim,Não,Sim,2026-04-18 00:00,131.116.242.156,,1
CLI-1034,Ana Freitas Mendes,922.796.877-28,18/03/1994,31,Masculino,Casado(a),Aposentado,Até R$2k,ana.freitas.mendes2@gmail.com,,(51) 91996-8747,,Rua Rio Negro,66,,Adrianópolis,Porto Alegre,RS,91671-188,Brasil,Casa,2022-03-01,App iOS,,AMIGO15,Padrão,34.9,Mensal,Ativo,2026-04-10,Boleto,,,,,0,50,1655.43,4,2,iPhone,"Console Xbox, Notebook, Chromecast",Português,Português,Não,Sim,Sim,Não,Sim,2026-04-27 22:00,101.71.190.213,,1
CLI-1035,Marcelo Rodrigues Nascimento,888.444.834-15,07/12/1999,26,Feminino,Viúvo(a),Estudante,R$2k a R$4k,marcelo.rodrigues.nascimento88@hotmail.com,,(48) 94690-2556,,Travessa do Sol,1158,,Ponta Negra,Florianópolis,SC,87520-359,Brasil,Apartamento,2023-03-12,App iOS,,,Premium,49.9,Mensal,Inadimplente,2026-02-10,Boleto,,,,,80,38,1838.75,1,4,Fire Stick,"Fire Stick, Smart TV, Console PS5, Tablet",Inglês,Português,Não,Sim,Não,Não,Sim,2026-04-27 00:00,180.157.170.111,,2
CLI-1036,Valentina Santos Mendes,999.824.623-93,17/09/1999,26,Feminino,Solteiro(a),Empresário,R$7k a R$10k,valentina.santos.mendes90@hotmail.com,,(91) 95796-1449,,Rua 10 de Julho,699,,Alvorada,Belém,PA,68779-531,Brasil,Apartamento,2022-02-17,Site,,BEMVINDO10,Padrão,34.9,Mensal,Ativo,2026-05-03,PIX,,,,Email,0,51,1547.68,3,2,Console PS5,"Notebook, Celular Android",Português,Português,Não,Sim,Sim,Não,Sim,2026-04-29 18:00,200.3.209.193,,2
CLI-1037,Aline Rodrigues Lopes,909.926.270-26,09/11/1998,27,Masculino,Solteiro(a),Enfermeiro,R$4k a R$7k,aline.rodrigues.lopes58@hotmail.com,,(27) 91371-2468,,Rua Barão de Melgaço,597,,Flores,Vitória,ES,73025-926,Brasil,Casa,2025-04-27,Smart TV,IND1968,BLACK50,Padrão,34.9,Mensal,Ativo,2026-04-19,PayPal,,,,,0,12,363.53,4,2,Console PS5,"Celular Android, Notebook, iPhone, Console Xbox",Português,Desativada,Sim,Sim,Sim,Sim,Sim,2026-04-28 22:00,192.242.67.145,,5
CLI-1038,Tatiane Pereira Lima,183.178.153-67,29/07/1993,32,Masculino,Casado(a),Vendedor,Até R$2k,tatiane.pereira.lima53@gmail.com,,(51) 99819-7857,,Rua Barão de Melgaço,261,Apto 101,Centro,Porto Alegre,RS,19954-479,Brasil,Apartamento,2024-04-23,Smart TV,,AMIGO15,Família,59.9,Mensal,Ativo,2026-05-03,PIX,,,,Email,0,24,1225.92,2,5,Celular Android,"Notebook, iPhone",Português,Inglês,Sim,Sim,Sim,Não,Sim,2026-04-28 06:00,144.191.6.26,,5
CLI-1039,Gabriel Gomes Gomes,911.768.660-71,19/09/1955,70,Feminino,Solteiro(a),Estudante,Acima de R$10k,gabriel.gomes.gomes99@hotmail.com,,(81) 92784-7243,,Av. Getúlio Vargas,352,,Ponta Negra,Recife,PE,78076-177,Brasil,Casa,2022-10-29,App Android,,,Padrão,34.9,Mensal,Ativo,2026-04-26,Boleto,,,,,0,42,1456.77,2,2,Notebook,"Tablet, Fire Stick, iPhone",Português,Desativada,Não,Sim,Não,Não,Sim,2026-04-28 23:00,108.72.205.26,,5
CLI-1040,Pedro Cunha Freitas,529.989.493-72,03/09/1954,71,Feminino,União Estável,Professor,R$7k a R$10k,pedro.cunha.freitas41@hotmail.com,pedro39@outlook.com,(51) 94205-1406,(51) 4965-6232,Av. Paulista,221,,Flores,Porto Alegre,RS,72573-467,Brasil,Apartamento,2024-04-22,Smart TV,,,Padrão,34.9,Mensal,Ativo,2026-04-18,Débito em Conta,,5479,09/29,,0,24,826.44,2,2,iPhone,"Console Xbox, Celular Android, Smart TV, iPhone",Inglês,Desativada,Sim,Sim,Sim,Não,Sim,2026-04-27 21:00,104.77.155.138,,4
CLI-1041,Rodrigo Oliveira Silva,473.831.301-73,18/09/1962,63,Feminino,Divorciado(a),Estudante,R$4k a R$7k,rodrigo.oliveira.silva9@gmail.com,rodrigo64@outlook.com,(41) 96575-2697,(41) 3915-5503,Av. Constantino Nery,1803,Apto 101,Compensa,Curitiba,PR,70335-418,Brasil,Apartamento,2024-10-22,App Android,IND1049,AMIGO15,Família,59.9,Mensal,Inadimplente,2026-02-09,Débito em Conta,,8411,02/30,,81,18,1042.74,1,5,Console Xbox,"Tablet, Celular Android, Smart TV, Console PS5",Português,Desativada,Não,Sim,Sim,Sim,Não,2026-04-20 00:00,112.60.226.83,,1
CLI-1042,Larissa Martins Mendes,747.992.398-95,06/10/1963,62,Masculino,Casado(a),Aposentado,Acima de R$10k,larissa.martins.mendes39@gmail.com,,(71) 95828-1084,,Rua Amazonas,2114,,Copacabana,Salvador,BA,57412-999,Brasil,Casa,2022-11-28,App iOS,,BEMVINDO10,Básico,19.9,Mensal,Inativo,2026-03-23,Débito em Conta,,1352,09/31,,0,41,289.93,3,1,Celular Android,"Smart TV, Celular Android, Chromecast",Português,Português,Não,Sim,Sim,Sim,Não,2026-03-26 00:00,149.10.34.31,Problemas financeiros,3
CLI-1043,Rafael Costa Freitas,299.824.192-64,11/10/1983,42,Feminino,Casado(a),Vendedor,R$4k a R$7k,rafael.costa.freitas42@hotmail.com,,(71) 95927-3386,(71) 4434-6414,Rua Amazonas,192,Apto 101,Centro,Salvador,BA,64106-846,Brasil,Casa,2022-04-17,App Android,IND2602,,Padrão,34.9,Mensal,Ativo,2026-05-02,Cartão de Crédito,Elo,1263,08/26,,0,49,1663.79,2,2,Chromecast,"Console Xbox, Smart TV, Notebook, Console PS5",Português,Português,Não,Sim,Não,Sim,Sim,2026-04-30 16:00,114.193.7.60,,2
